ID,TI,Taxon,Taxon_notes,Status,Higher_tax,Macropodin_status,Sex,Side,Assemblage,Deposit_type,Est_age,PW,H_HYPCD
AM_M3164,3,Aepyprymnus_rufescens,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,4.39,3.89
AM_M9697,3,Aepyprymnus_rufescens,,Modern,Potoroinae,non_macropodin,M,R,Modern,NA,0,4.33,4.3
AM_M14017,2,Aepyprymnus_rufescens,,Modern,Potoroinae,non_macropodin,M,R,Modern,NA,0,4.61,4.69
AM_M2267,3,Aepyprymnus_rufescens,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,4.28,4.36
AM_B6980,2,Aepyprymnus_rufescens,,Modern,Potoroinae,non_macropodin,M,R,Modern,NA,0,3.85,4.14
UCMP_22656,2,Archaeosimos_cf_sp_indet,,Fossil,Sthenurinae,non_macropodin,NA,R,Stirton_Quarry,Non_cave,3.6,9,7.8
QM_F20345,3,Balbarinae_gen_et_sp_indet,,Fossil,Balbarinae,non_macropodin,NA,L,Gag,Non_cave,14.5,4.87,3.45
QM_F20532 ,3,Balbarinae_gen_et_sp_indet,,Fossil,Balbarinae,non_macropodin,NA,R,Henks_Hollow,Non_cave,14.5,4.75,4.59
SAMA_NA,2,Balbarinae_gen_et_sp_indet,,Fossil,Balbarinae,non_macropodin,NA,R,Ngama_Quarry,Non_cave,24.1,3.45,3.07
NTM_P99686,3,Balbaroo_camfieldensis,,Fossil,Balbarinae,non_macropodin,NA,L,Bullock_Creek,Non_cave,14.5,5.31,4.11
NTM_P895_151,3,Balbaroo_camfieldensis,,Fossil,Balbarinae,non_macropodin,NA,R,Bullock_Creek,Non_cave,14.5,5.6,4.78
QM_F20071,2,Balbaroo_fangaroo,,Fossil,Balbarinae,non_macropodin,NA,R,Camel_Sputum,Cave,17.8,4.89,4.85
QM_F24518,3,Balbaroo_fangaroo,,Fossil,Balbarinae,non_macropodin,NA,R,Inabeyance,Cave,17.8,5.65,4.61
QM_F20087 ,3,Balbaroo_fangaroo,,Fossil,Balbarinae,non_macropodin,NA,R,Upper,Cave,17.8,5.55,4.49
QM_F56982,3,Balbaroo_fangaroo,,Fossil,Balbarinae,non_macropodin,NA,NA,Waynes_Wok,Cave,17.8,5.21,4.66
QM_F56985,2,Balbaroo_fangaroo,,Fossil,Balbarinae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,4.77,4.84
QM_F52811,2,Balbaroo_nalima,,Fossil,Balbarinae,non_macropodin,NA,R,AL90,Cave,14.7,4.93,5.06
QM_F20851,2,Balbaroo_nalima,,Fossil,Balbarinae,non_macropodin,NA,L,Cleft_of_Ages_1,Non_cave,17,4.94,4.09
QM_NA,2,Balbaroo_nalima_cf,,Fossil,Balbarinae,non_macropodin,NA,L,Keiths_Chocky_Block,Non_cave,14.5,5.41,4.83
QM_F31499,3,Balbaroo_sp_nov_2,,Fossil,Balbarinae,non_macropodin,NA,R,Golden_Steph,Non_cave,14.5,5.22,5.63
QM_F24536,3,Balbaroo_sp_nov_2,,Fossil,Balbarinae,non_macropodin,NA,R,Kangaroo_Jaw,Non_cave,14.5,4.43,3.66
NMV_P201155,2,Baringa_nelsonensis,,Fossil,Macropodinae,macropodin,NA,R,Nelson_Bay,Non_cave,0.8,4.93,5.62
NMV_P252536,3,Baringa_nelsonensis,,Fossil,Macropodinae,macropodin,NA,R,Nelson_Bay,Non_cave,0.8,6.13,7.9
NMV_P252524a,2,Baringa_nelsonensis,,Fossil,Macropodinae,macropodin,NA,L,Nelson_Bay,Non_cave,0.8,6.06,7.85
NMV_P201155,2,Baringa_nelsonensis,,Fossil,Macropodinae,macropodin,NA,L,Nelson_Bay,Non_cave,0.8,4.86,6.32
NMV_P201155,3,Baringa_nelsonensis,,Fossil,Macropodinae,macropodin,NA,R,Nelson_Bay,Non_cave,0.8,5.72,7.73
NMV_P215776,2,Baringa_nelsonensis,,Fossil,Macropodinae,macropodin,NA,L,Nelson_Bay,Non_cave,0.8,5.36,7.26
NMV_P201155,3,Baringa_nelsonensis,,Fossil,Macropodinae,macropodin,NA,L,Nelson_Bay,Non_cave,0.8,5.75,7.94
NMV_P252537,3,Baringa_nelsonensis,,Fossil,Macropodinae,macropodin,NA,R,Nelson_Bay,Non_cave,0.8,6.05,8.4
NMV_P252525a,2,Baringa_nelsonensis,,Fossil,Macropodinae,macropodin,NA,R,Nelson_Bay,Non_cave,0.8,5.67,8.13
NMV_P222111,3,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,R,Childers_Cove,Non_cave,2,5.66,6.89
NMV_P221870,2,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,R,Childers_Cove,Non_cave,2,4.68,5.8
NMV_P230359B,2,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,R,Childers_Cove,Non_cave,2,4.39,5.88
WAM_03_5_11,2,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,L,Last_Tree_Cave,Cave,0.5,5.8,4.6
WAM_05_5_57,3,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,L,Last_Tree_Cave,Cave,0.5,6.32,5.66
WAM_03_5_13,3,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,L,Last_Tree_Cave,Cave,0.5,6.25,6.59
WAM_05_5_72,3,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,L,Last_Tree_Cave,Cave,0.5,5.97,6.52
WAM_05_5_35,2,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,R,Last_Tree_Cave,Cave,0.5,5.9,6.7
WAM_05_5_72,2,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,L,Last_Tree_Cave,Cave,0.5,5.57,6.44
WAM_05_5_71,2,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,L,Last_Tree_Cave,Cave,0.5,5.38,6.62
WAM_05_5_66,2,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,R,Last_Tree_Cave,Cave,0.5,5.51,7.07
WAM_05_4_84,3,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,L,Leaenas_Breath_Cave,Cave,0.4,5.83,6.27
WAM_04_5_24,2,Baringa_sp_indet,,Fossil,Macropodinae,macropodin,NA,R,Leaenas_Breath_Cave,Cave,0.4,5.69,7.41
WAM_M24001,3,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,3.4,2.49
WAM_M7224,2,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,M,R,Modern,NA,0,3.34,2.52
WAM_M17057,3,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,F,R,Modern,NA,0,3.43,2.65
WAM_M7224,3,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,3.04,2.38
WAM_M14875,3,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,3.07,2.55
WAM_M7226,2,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,M,R,Modern,NA,0,3.28,2.74
WAM_M19861,2,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,NA,L,Modern,NA,0,3.81,3.3
WAM_M17058,3,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,F,R,Modern,NA,0,3.86,3.41
WAM_M14913,2,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,3.31,2.94
WAM_M44040,2,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,3.42,3.04
WAM_M14875,2,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,3.35,2.98
WAM_M17058,2,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,F,R,Modern,NA,0,3.4,3.24
WAM_M44040,3,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,2.83,2.76
WAM_M14913,3,Bettongia_lesueur,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,2.89,2.92
WAM_07_6_461,3,Bettongia_lesueur,,Fossil,Potoroinae,non_macropodin,NA,R,Tight_Entrance_Cave_Unit_H,Cave,0.03,3.71,2.52
WAM_07_6_161,2,Bettongia_lesueur,,Fossil,Potoroinae,non_macropodin,NA,R,Tight_Entrance_Cave_Unit_H,Cave,0.03,3.53,3.12
WAM_M18,3,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,M,R,Modern,NA,0,3.75,2.48
WAM_M5235,3,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,3.29,2.23
AM_M38659,3,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,3.27,2.34
WAM_M1366,3,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,F,R,Modern,NA,0,3.73,2.67
WAM_M4482,2,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,NA,R,Modern,NA,0,3.85,2.81
WAM_M7232,2,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,F,R,Modern,NA,0,3.59,2.73
WAM_M4711,3,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,F,R,Modern,NA,0,3.27,2.49
WAM_M5264,2,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,F,R,Modern,NA,0,3.52,2.75
WAM_M2133,2,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,M,R,Modern,NA,0,3.66,2.87
AM_M3093,3,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,M,R,Modern,NA,0,3.3,2.64
AM_M3093,2,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,M,R,Modern,NA,0,3.54,2.88
WAM_M7234,2,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,M,R,Modern,NA,0,3.65,3.07
AM_M45201,3,Bettongia_penicillata,,Modern,Potoroinae,non_macropodin,NA,L,Modern,NA,0,3.33,2.81
WAM_08_8_762,2,Bettongia_penicillata,,Fossil,Potoroinae,non_macropodin,NA,L,Tight_Entrance_Cave_Unit_B,Cave,0.1,3.26,2.44
QM_F58669,3,Bohra_bandharr,,Fossil,Macropodinae,non_macropodin,NA,L,Chinchilla,Non_cave,3.1,6.68,6.76
WAM_03_5_10,3,Bohra_illuminata,,Fossil,Macropodinae,non_macropodin,NA,NA,Last_Tree_Cave,Cave,0.5,6.7,6.28
SAMA_P29919,3,Bohra_nullarbora,,Fossil,Macropodinae,non_macropodin,NA,R,Corra_Lynn_Cave,Cave,3.1,5.73,5.71
SAMA_P29919,2,Bohra_nullarbora,,Fossil,Macropodinae,non_macropodin,NA,R,Corra_Lynn_Cave,Cave,3.1,4.93,5.66
NMV_P222108B,3,Bohra_sp_indet,,Fossil,Macropodinae,non_macropodin,NA,R,Childers_Cove,Non_cave,2,7.16,8.76
NMV_P205606,2,Bohra_wilkinsonorum_cf,,Fossil,Macropodinae,non_macropodin,NA,L,Forsyths_Bank,Non_cave,5,8.23,6.32
NTM_P2779_6,3,Bulungamaya_cf_sp_indet,,Fossil,Macropodidae,non_macropodin,NA,L,Kangaroo_Well,Non_cave,24,3.07,2.46
QM_F19961,3,Bulungamaya_delicata,,Fossil,Macropodidae,non_macropodin,NA,L,Camel_Sputum,Cave,17.8,2.87,2.18
QM_F30394,3,Bulungamaya_delicata,,Fossil,Macropodidae,non_macropodin,NA,R,Camel_Sputum,Cave,17.8,2.97,2.35
QM_F20255,3,Bulungamaya_delicata,,Fossil,Macropodidae,non_macropodin,NA,R,Camel_Sputum,Cave,17.8,3.13,2.86
QM_F19937,3,Bulungamaya_delicata,,Fossil,Macropodidae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,2.84,2.46
QM_F19586 ,3,Bulungamaya_delicata,,Fossil,Macropodidae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,2.95,2.61
QM_F20165 ,2,Bulungamaya_delicata,,Fossil,Macropodidae,non_macropodin,NA,R,Waynes_Wok,Cave,17.8,2.9,2.57
QM_F19579,3,Bulungamaya_delicata,,Fossil,Macropodidae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,3.12,2.84
QM_F19937,2,Bulungamaya_delicata,,Fossil,Macropodidae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,2.86,2.63
QM_F19586 ,2,Bulungamaya_delicata,,Fossil,Macropodidae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,2.95,3
QM_F19579,2,Bulungamaya_delicata,,Fossil,Macropodidae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,2.99,3.06
QM_NA,3,Bulungamaya_delicata_cf,,Fossil,Macropodidae,non_macropodin,NA,R,Keiths_Chocky_Block,Non_cave,14.5,3.13,3.27
QM_F9477,3,Congruus_congruus,Originally Congruus_indra,Fossil,Macropodinae,macropodin,NA,L,Chinchilla,Non_cave,3.1,6.25,5.33
SAMA_P21117,2,Congruus_congruus,Originally Congruus_sp_indet,Fossil,Macropodinae,macropodin,NA,R,Hookina_Creek,Non_cave,0.4,6.8,8.4
QM_F19955,3,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,L,Camel_Sputum,Cave,17.8,4.18,3.02
QM_F20021 ,3,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,R,Camel_Sputum,Cave,17.8,4.42,3.61
QM_F19955,2,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,L,Camel_Sputum,Cave,17.8,4.06,3.52
QM_F19904,3,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,L,Camel_Sputum,Cave,17.8,4.16,3.7
QM_F20020,3,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,R,Camel_Sputum,Cave,17.8,4.19,3.79
QM_F19807 ,3,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,R,Camel_Sputum,Cave,17.8,4.5,4.18
QM_F19807 ,2,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,R,Camel_Sputum,Cave,17.8,4.46,4.22
QM_F20250,3,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,L,Camel_Sputum,Cave,17.8,4.22,4.03
QM_F19904,2,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,L,Camel_Sputum,Cave,17.8,4.15,4.14
QM_F20250 ,2,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,R,Camel_Sputum,Cave,17.8,4.18,4.64
QM_F19817 ,3,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,L,Upper,Cave,17.8,4.26,3.97
QM_F19949,2,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,R,Upper,Cave,17.8,4.33,4.08
QM_F19817 ,2,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,L,Upper,Cave,17.8,4.19,3.98
QM_F20294,2,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,L,Upper,Cave,17.8,4.13,4.12
QM_F20294,3,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,L,Upper,Cave,17.8,4.03,4.06
QM_F20259 ,3,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,R,Waynes_Wok,Cave,17.8,4.2,3.62
QM_F19600,3,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,R,Waynes_Wok,Cave,17.8,4.43,3.89
QM_F19940,2,Cookeroo_hortusensis,,Fossil,Macropodidae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,4.32,4.26
QM_JM6664,3,Dendrolagus_matschiei,Originally Dendrolagus_bennettianus,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.04,3.95
QM_JM6664,2,Dendrolagus_matschiei,Originally Dendrolagus_bennettianus,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,3.96,4.14
SAMA_M1905,3,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,F,R,Modern,NA,0,4.48,3.35
AM_M3344,3,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.38,3.48
SAMA_M1901,3,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,M,R,Modern,NA,0,4.61,4.02
SAMA_M1906,3,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,M,R,Modern,NA,0,4.59,4.01
QM_J3860,3,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,F,R,Modern,NA,0,3.89,3.4
QM_J6290,3,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.31,3.81
SAMA_M1904,3,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,M,R,Modern,NA,0,4.52,4.1
SAMA_M2225,2,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,3.99,3.64
AM_M2802,3,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.22,3.97
AM_M3344,2,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.01,3.91
AM_M9108,3,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,M,R,Modern,NA,0,4.15,4.38
AM_S1623,3,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.32,4.63
AM_M2273,3,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.17,4.49
AM_M2287,2,Dendrolagus_lumholtzi,,Modern,Macropodinae,non_macropodin,NA,L,Modern,NA,0,3.8,4.16
AM_M35030,3,Dendrolagus_dorianus,Originally Dendrolagus_ursinus,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,5.06,3.85
AM_M28262,3,Dendrolagus_dorianus,Originally Dendrolagus_ursinus,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.46,3.52
AM_M37892,3,Dendrolagus_dorianus,Originally Dendrolagus_ursinus,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.74,3.76
AM_M17230,3,Dendrolagus_dorianus,Originally Dendrolagus_ursinus,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.64,4
AM_M17230,2,Dendrolagus_dorianus,Originally Dendrolagus_ursinus,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.28,3.84
AM_M35030,2,Dendrolagus_dorianus,Originally Dendrolagus_ursinus,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.52,4.33
AM_M28262,2,Dendrolagus_dorianus,Originally Dendrolagus_ursinus,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.41,4.33
AM_M37894,2,Dendrolagus_dorianus,Originally Dendrolagus_ursinus,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.13,4.45
AM_A3663,3,Dorcopsis_hageni,Originally Dorcopsis_luctosa,Modern,Macropodinae,non_macropodin,F,R,Modern,NA,0,4.53,4.65
AM_M8665,3,Dorcopsis_hageni,Originally Dorcopsis_luctosa,Modern,Macropodinae,non_macropodin,F,R,Modern,NA,0,4.58,4.82
AM_M8665,2,Dorcopsis_hageni,Originally Dorcopsis_luctosa,Modern,Macropodinae,non_macropodin,F,R,Modern,NA,0,4.02,4.26
AM_M12659,3,Dorcopsis_hageni,Originally Dorcopsis_luctosa,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,4.21,4.85
WAM_M519,2,Dorcopsis_veterum,Originally Dorcopsis_muelleri,Modern,Macropodinae,non_macropodin,M,L,Modern,NA,0,4.09,4.89
SAMA_P24133,2,Dorcopsis_sp_indet,,Fossil,Macropodinae,non_macropodin,NA,R,Sunlands,Non_cave,6.3,4.32,4.25
NTM_P8728,2,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,R,Alcoota,Non_cave,7,5.23,3.34
NTM_SP352,3,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.43,3.55
NTM_P_unreg,2,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,R,Alcoota,Non_cave,7,5.28,3.58
NTM_MP790,3,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.64,3.89
NTM_P8728_9,2,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.07,3.5
NTM_A77,3,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.77,4
NTM_P8728,3,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,R,Alcoota,Non_cave,7,5.69,4.02
NTM_MP298,2,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,R,Alcoota,Non_cave,7,5.41,3.84
NTM_SP928,2,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.55,4.05
NTM_P8728_9,3,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.36,4.02
NTM_P_unreg,2,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,4.97,3.74
NTM_P_unreg,3,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,6.21,4.73
NTM_SP286,2,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,R,Alcoota,Non_cave,7,5.61,4.31
NTM_P5001,2,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.58,4.4
NTM_P98731,3,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.3,4.3
NTM_P_unreg,2,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.58,4.53
NTM_P_unreg,3,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.28,4.3
NTM_P98733,3,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.01,4.25
NTM_P_unreg,2,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.07,4.32
NTM_SP286,3,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,R,Alcoota,Non_cave,7,5.74,4.91
NTM_P_unreg,3,Dorcopsoides_fossilis,,Fossil,Macropodinae,non_macropodin,NA,L,Alcoota,Non_cave,7,5.5,4.73
AM_M16257,3,Dorcopsulus_vanheurni,,Modern,Macropodinae,non_macropodin,M,R,Modern,NA,0,3.48,3.07
AM_M16256,2,Dorcopsulus_vanheurni,,Modern,Macropodinae,non_macropodin,F,R,Modern,NA,0,2.95,2.68
AM_M16258,2,Dorcopsulus_vanheurni,,Modern,Macropodinae,non_macropodin,M,R,Modern,NA,0,3.21,2.94
AM_M9512,3,Dorcopsulus_vanheurni,,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,3.63,3.34
AM_M16258,3,Dorcopsulus_vanheurni,,Modern,Macropodinae,non_macropodin,M,R,Modern,NA,0,3.59,3.49
AM_M16256,3,Dorcopsulus_vanheurni,,Modern,Macropodinae,non_macropodin,F,R,Modern,NA,0,3.33,3.31
AM_M16257,2,Dorcopsulus_vanheurni,,Modern,Macropodinae,non_macropodin,M,R,Modern,NA,0,3.09,3.21
AM_M15719,2,Dorcopsulus_vanheurni,,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,2.74,2.9
AM_M15719,3,Dorcopsulus_vanheurni,,Modern,Macropodinae,non_macropodin,NA,R,Modern,NA,0,2.91,3.27
QM_F16840,3,Ganawamaya_acris,,Fossil,Balbarinae,non_macropodin,NA,R,RSO,Cave,16.6,4.64,3.06
QM_F19661 ,2,Ganawamaya_acris,,Fossil,Balbarinae,non_macropodin,NA,R,Upper,Cave,17.8,4.51,4.37
QM_F57788,2,Ganawamaya_acris,,Fossil,Balbarinae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,4.48,3.63
QM_F19899,3,Ganawamaya_acris,,Fossil,Balbarinae,non_macropodin,NA,R,Waynes_Wok,Cave,17.8,4.92,4.03
QM_F57788,3,Ganawamaya_acris,,Fossil,Balbarinae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,4.82,4.28
QM_F57789,3,Ganawamaya_acris,,Fossil,Balbarinae,non_macropodin,NA,R,Waynes_Wok,Cave,17.8,4.87,4.67
QM_F57789,2,Ganawamaya_acris,,Fossil,Balbarinae,non_macropodin,NA,R,Waynes_Wok,Cave,17.8,4.74,4.72
QM_F16843,3,Ganawamaya_aediculis,,Fossil,Balbarinae,non_macropodin,NA,R,White_Hunter,Non_cave,17.8,4.33,3.57
QM_F16843,2,Ganawamaya_aediculis,,Fossil,Balbarinae,non_macropodin,NA,R,White_Hunter,Non_cave,17.8,4.23,3.63
QM_F19584A,3,Ganawamaya_aediculis,,Fossil,Balbarinae,non_macropodin,NA,R,White_Hunter,Non_cave,17.8,4.09,4.13
UCMP_57337,2,Ganawamaya_couperi,,Fossil,Balbarinae,non_macropodin,NA,R,Discovery_Basin_1,Non_cave,24.6,2.97,2.75
QM_F30401,3,Ganawamaya_couperi,,Fossil,Balbarinae,non_macropodin,NA,R,White_Hunter,Non_cave,17.8,4.07,3.25
QM_F34532 ,2,Ganawamaya_gillespieae,,Fossil,Balbarinae,non_macropodin,NA,L,Quantum_Leap,Non_cave,17.8,4.25,3.34
QM_F19903,3,Ganguroo_bilamina,,Fossil,Macropodidae,non_macropodin,NA,R,Camel_Sputum,Cave,17.8,3.01,2.38
QM_F56996,2,Ganguroo_bilamina,,Fossil,Macropodidae,non_macropodin,NA,L,Camel_Sputum,Cave,17.8,2.84,2.36
QM_F19900,3,Ganguroo_bilamina,,Fossil,Macropodidae,non_macropodin,NA,L,Camel_Sputum,Cave,17.8,4.45,4.02
QM_F56996,3,Ganguroo_bilamina,,Fossil,Macropodidae,non_macropodin,NA,L,Camel_Sputum,Cave,17.8,3.02,2.8
QM_F20006,3,Ganguroo_bilamina,,Fossil,Macropodidae,non_macropodin,NA,L,Inabeyance,Cave,17.8,2.9,2.88
QM_F20006,2,Ganguroo_bilamina,,Fossil,Macropodidae,non_macropodin,NA,L,Inabeyance,Cave,17.8,2.8,2.95
QM_F19646,3,Ganguroo_bilamina,,Fossil,Macropodidae,non_macropodin,NA,R,Upper,Cave,17.8,3.02,2.66
QM_F57021,2,Ganguroo_bilamina,,Fossil,Macropodidae,non_macropodin,NA,R,Waynes_Wok,Cave,17.8,3.18,2.49
QM_F57021,3,Ganguroo_bilamina,,Fossil,Macropodidae,non_macropodin,NA,R,Waynes_Wok,Cave,17.8,2.66,2.27
QM_F19602,2,Ganguroo_bilamina,,Fossil,Macropodidae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,2.97,2.77
QM_F19602,3,Ganguroo_bilamina,,Fossil,Macropodidae,non_macropodin,NA,L,Waynes_Wok,Cave,17.8,3.01,2.81
QM_F20344,3,Ganguroo_robustiter,,Fossil,Macropodidae,non_macropodin,NA,L,Gag,Non_cave,14.5,5.03,4.08
QM_F23836,3,Ganguroo_robustiter,,Fossil,Macropodidae,non_macropodin,NA,L,Gag,Non_cave,14.5,3.3,3.06
QM_F20350 ,3,Ganguroo_robustiter,,Fossil,Macropodidae,non_macropodin,NA,L,Gag,Non_cave,14.5,3.62,3.43
